_id,userId,amount,category,description,date
69b91608fc13ae517735bac2,69b9111bfc13ae51dd35bbff,299.32,Shopping,43926 Eagan Place,11/28/2025
69b91608fc13ae517735bac3,69b9111bfc13ae51dd35bc14,-100.04,Bills & Utilities,323 Chinook Parkway,10/27/2025
69b91608fc13ae517735bac4,69b9111bfc13ae51dd35bc07,-113.06,Food & Dining,67 Forest Run Circle,11/18/2024
69b91608fc13ae517735bac5,69b9111bfc13ae51dd35bc0b,-8.67,Shopping,7101 Doe Crossing Circle,1/18/2024
69b91608fc13ae517735bac6,69b9111bfc13ae51dd35bc1a,478.64,Other,8 Hanson Parkway,10/25/2023
69b91608fc13ae517735bac7,69b9111bfc13ae51dd35bc1f,316.06,Healthcare,6732 Merrick Park,3/21/2024
69b91608fc13ae517735bac8,69b9111bfc13ae51dd35bc1f,212.36,Food & Dining,5 Jackson Trail,11/8/2023
69b91608fc13ae517735bac9,69b9111bfc13ae51dd35bbef,25.04,Food & Dining,577 Bluestem Center,8/4/2023
69b91608fc13ae517735baca,69b9111bfc13ae51dd35bc06,-38.42,Bills & Utilities,2748 Crownhardt Plaza,4/14/2024
69b91608fc13ae517735bacb,69b9111bfc13ae51dd35bc12,369.51,Income,19 Jenifer Park,6/5/2023
69b91608fc13ae517735bacc,69b9111bfc13ae51dd35bc19,344.5,Transport,02 Blaine Parkway,1/3/2026
69b91608fc13ae517735bacd,69b9111bfc13ae51dd35bc11,466.81,Transfer,93597 Declaration Point,2/25/2026
69b91608fc13ae517735bace,69b9111bfc13ae51dd35bc1e,312.3,Transfer,65034 Warner Road,1/13/2025
69b91608fc13ae517735bacf,69b9111bfc13ae51dd35bbf0,237.39,Transport,981 Dennis Court,12/16/2024
69b91608fc13ae517735bad0,69b9111bfc13ae51dd35bc16,424.94,Transport,5385 Heath Court,9/29/2024
69b91608fc13ae517735bad1,69b9111bfc13ae51dd35bbf5,382.16,Transfer,5055 Monterey Avenue,1/8/2024
69b91608fc13ae517735bad2,69b9111bfc13ae51dd35bc05,225.55,Transfer,84 Swallow Way,9/4/2023
69b91608fc13ae517735bad3,69b9111bfc13ae51dd35bbfc,-137.21,Other,0244 Jackson Circle,1/15/2024
69b91608fc13ae517735bad4,69b9111bfc13ae51dd35bc12,-169.19,Entertainment,95947 Gulseth Hill,4/17/2025
69b91608fc13ae517735bad5,69b9111bfc13ae51dd35bc0d,254.07,Healthcare,2 Reinke Hill,2/23/2024
69b91608fc13ae517735bad6,69b9111bfc13ae51dd35bbfc,-89.75,Education,336 New Castle Street,11/18/2025
69b91608fc13ae517735bad7,69b9111bfc13ae51dd35bc11,-31.83,Other,0473 Dwight Center,9/13/2023
69b91608fc13ae517735bad8,69b9111bfc13ae51dd35bc00,151.38,Transport,4828 Holy Cross Lane,11/19/2025
